Algorithm,DataType,ArraySize,Time_ms,CharComparisons
"A1rq MSD+QuickSort (Adapted)","Random",1600,0.16979,7971
"Standard MergeSort","Random",1600,1.59695,1093201
"Standard QuickSort","Random",1600,0.20478,1492592
"A1m MergeSort (Adapted)","ReverseSorted",1600,1.37591,597306
"A1q TernaryQuickSort (Adapted)","ReverseSorted",1600,0.11328,83640
"A1r MSD RadixSort (Adapted)","ReverseSorted",1600,0.33176,3480
"A1rq MSD+QuickSort (Adapted)","ReverseSorted",1600,0.17033,16199
"Standard MergeSort","ReverseSorted",1600,1.37613,597306
"Standard QuickSort","ReverseSorted",1600,5.31064,94066396
"A1m MergeSort (Adapted)","AlmostSorted",1600,1.45932,948169
"A1q TernaryQuickSort (Adapted)","AlmostSorted",1600,0.07405,44258
"A1r MSD RadixSort (Adapted)","AlmostSorted",1600,0.25360,3512
"A1rq MSD+QuickSort (Adapted)","AlmostSorted",1600,0.13823,8874
"Standard MergeSort","AlmostSorted",1600,1.42911,948169
"Standard QuickSort","AlmostSorted",1600,0.24983,3039111
"A1m MergeSort (Adapted)","CommonPrefix",1600,1.61187,1134557
"A1q TernaryQuickSort (Adapted)","CommonPrefix",1600,0.04907,25236
"A1r MSD RadixSort (Adapted)","CommonPrefix",1600,0.52786,11483
"A1rq MSD+QuickSort (Adapted)","CommonPrefix",1600,0.38961,16181
"Standard MergeSort","CommonPrefix",1600,1.60439,1134557
"Standard QuickSort","CommonPrefix",1600,0.23482,1323901
"A1m MergeSort (Adapted)","Random",1700,1.74413,1176874
"A1q TernaryQuickSort (Adapted)","Random",1700,0.04459,18434
"A1r MSD RadixSort (Adapted)","Random",1700,0.38504,3750
"A1rq MSD+QuickSort (Adapted)","Random",1700,0.17818,8858
"Standard MergeSort","Random",1700,1.69706,1176874
"Standard QuickSort","Random",1700,0.22123,1526400
"A1m MergeSort (Adapted)","ReverseSorted",1700,1.51039,642397
"A1q TernaryQuickSort (Adapted)","ReverseSorted",1700,0.12472,89493
"A1r MSD RadixSort (Adapted)","ReverseSorted",1700,0.34027,3697
"A1rq MSD+QuickSort (Adapted)","ReverseSorted",1700,0.17323,18087
"Standard MergeSort","ReverseSorted",1700,1.57100,642397
"Standard QuickSort","ReverseSorted",1700,5.97159,105905550
"A1m MergeSort (Adapted)","AlmostSorted",1700,1.51519,1085415
"A1q TernaryQuickSort (Adapted)","AlmostSorted",1700,0.10242,60198
"A1r MSD RadixSort (Adapted)","AlmostSorted",1700,0.26990,3725
"A1rq MSD+QuickSort (Adapted)","AlmostSorted",1700,0.15756,9811
"Standard MergeSort","AlmostSorted",1700,1.45747,1085415
"Standard QuickSort","AlmostSorted",1700,0.27843,3170813
"A1m MergeSort (Adapted)","CommonPrefix",1700,1.68204,1181222
"A1q TernaryQuickSort (Adapted)","CommonPrefix",1700,0.05074,27207
"A1r MSD RadixSort (Adapted)","CommonPrefix",1700,0.51831,12231
"A1rq MSD+QuickSort (Adapted)","CommonPrefix",1700,0.37785,17214
"Standard MergeSort","CommonPrefix",1700,1.70619,1181222
"Standard QuickSort","CommonPrefix",1700,0.22077,1461479
"A1m MergeSort (Adapted)","Random",1800,1.80557,1239755
"A1q TernaryQuickSort (Adapted)","Random",1800,0.05407,21156
"A1r MSD RadixSort (Adapted)","Random",1800,0.38326,3926
"A1rq MSD+QuickSort (Adapted)","Random",1800,0.20237,9614
"Standard MergeSort","Random",1800,1.82188,1239755
"Standard QuickSort","Random",1800,0.22505,1519592
"A1m MergeSort (Adapted)","ReverseSorted",1800,1.63582,710322
"A1q TernaryQuickSort (Adapted)","ReverseSorted",1800,0.13602,94718
